n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0368,1,256,4,1,1,1,0,3,2,0.000382,64,290,256,0,1
0369,1,256,4,1,1,1,0,4,0,0.000428,46,186,162,0,1
0370,1,256,4,1,1,1,0,4,1,0.000399,51,217,168,0,1
0371,1,256,4,1,1,1,0,4,2,0.000399,51,217,168,0,1
0378,1,256,4,1,1,1,0,7,0,0.000442,86,321,281,0,1
0379,1,256,4,1,1,1,0,7,1,0.000399,101,431,340,0,1
0380,1,256,4,1,1,1,0,7,2,0.000399,101,431,340,0,1
0381,1,256,4,1,1,1,0,8,0,0.000434,51,200,200,0,1
0382,1,256,4,1,1,1,0,8,1,0.000402,58,273,233,0,1
0383,1,256,4,1,1,1,0,8,2,0.000402,58,273,233,0,1
0390,1,256,4,1,1,1,0,11,0,0.000544,103,359,316,0,1
0391,1,256,4,1,1,1,0,11,1,0.000559,133,637,447,0,1
0392,1,256,4,1,1,1,0,11,2,0.000559,133,637,447,0,1
0402,1,256,4,1,1,1,0,15,0,0.000524,129,502,356,0,1
0403,1,256,4,1,1,1,0,15,1,0.000484,169,820,515,0,1
0404,1,256,4,1,1,1,0,15,2,0.000484,169,820,515,0,1
0405,1,256,4,2,1,1,0,1,0,0.000632,148,610,354,0,38
0406,1,256,4,2,1,1,0,1,1,0.000419,148,702,360,0,38
0407,1,256,4,2,1,1,0,1,2,0.000419,148,702,360,0,38
0408,1,256,4,2,1,1,0,2,0,0.000539,165,686,374,0,38
0409,1,256,4,2,1,1,0,2,1,0.000410,170,771,380,0,38
0410,1,256,4,2,1,1,0,2,2,0.000410,170,771,380,0,38
0414,1,256,4,2,1,1,0,4,0,0.000514,187,784,493,0,38
0415,1,256,4,2,1,1,0,4,1,0.000447,176,842,492,0,38
0416,1,256,4,2,1,1,0,4,2,0.000447,176,842,492,0,38
0417,1,256,4,2,1,1,0,5,0,0.000479,209,878,678,0,38
0418,1,256,4,2,1,1,0,5,1,0.000489,268,1176,762,0,38
0419,1,256,4,2,1,1,0,5,2,0.000489,268,1176,762,0,38
0423,1,256,4,2,1,1,0,7,0,0.000520,282,993,722,0,38
0424,1,256,4,2,1,1,0,7,1,0.000459,297,1250,838,0,38
0425,1,256,4,2,1,1,0,7,2,0.000459,297,1250,838,0,38
0426,1,256,4,2,1,1,0,8,0,0.000540,186,837,567,0,38
0427,1,256,4,2,1,1,0,8,1,0.000493,216,969,622,0,38
0428,1,256,4,2,1,1,0,8,2,0.000493,216,969,622,0,38
0441,1,256,4,2,1,1,0,13,0,0.000423,287,1152,832,0,38
0442,1,256,4,2,1,1,0,13,1,0.000475,371,1836,1082,0,38
0443,1,256,4,2,1,1,0,13,2,0.000475,371,1836,1082,0,38
0447,1,256,4,2,1,1,0,15,0,0.000555,354,1382,872,0,38
0448,1,256,4,2,1,1,0,15,1,0.000562,433,2018,1158,0,38
0449,1,256,4,2,1,1,0,15,2,0.000562,433,2018,1158,0,38
0450,1,256,4,4,1,1,0,1,0,0.000255,301,1146,607,0,44
0451,1,256,4,4,1,1,0,1,1,0.000190,294,1373,620,0,44
0452,1,256,4,4,1,1,0,1,2,0.000190,294,1373,620,0,44
0453,1,256,4,4,1,1,0,2,0,0.000209,279,1236,648,0,44
0454,1,256,4,4,1,1,0,2,1,0.000169,354,1450,661,0,44
0455,1,256,4,4,1,1,0,2,2,0.000191,352,1450,661,0,44
0456,1,256,4,4,1,1,0,3,0,0.000215,382,1435,1172,0,44
0457,1,256,4,4,1,1,0,3,1,0.000197,431,1875,1217,0,44
0458,1,256,4,4,1,1,0,3,2,0.000197,431,1875,1217,0,44
