n,knob_HIST_SIZE,knob_NUM_HIST,knob_UNROLL_LLM,knob_UNROLL_LP,knob_I_B,knob_DATA_BLOCK,obj1,obj2
379,256,4,7,2,0,4096,0.001,7775
380,256,4,7,2,0,8192,0.001,7110
381,256,4,7,2,0,32768,0.0009,7848
382,256,4,7,2,0,65536,0.0009,7676
383,256,4,7,3,0,1024,0.0018,9989
384,256,4,7,3,0,2048,0.0017,7629
385,256,4,7,3,0,8192,0.0018,9443
386,256,4,7,3,0,16384,0.0015,7375
387,256,4,7,3,0,32768,0.0015,7379
388,256,4,7,3,0,65536,0.0015,7316
389,256,5,1,1,0,1024,0.0023,7580
390,256,5,1,1,0,2048,0.0022,7550
391,256,5,1,1,0,4096,0.0024,7386
392,256,5,1,1,0,16384,0.0025,7057
393,256,5,1,1,0,32768,0.0023,7551
394,256,5,1,1,0,65536,0.0023,7530
395,256,5,1,2,0,2048,0.0021,7708
396,256,5,1,2,0,4096,0.0019,7748
397,256,5,1,2,0,16384,0.0021,7137
398,256,5,1,2,0,32768,0.002,7409
399,256,5,1,2,0,65536,0.0021,7549
400,256,5,1,3,0,1024,0.0018,8297
401,256,5,1,3,0,2048,0.002,7868
402,256,5,1,3,0,16384,0.0019,7049
403,256,5,1,3,0,32768,0.002,7104
404,256,5,1,3,0,65536,0.0019,7135
405,256,5,2,1,0,1024,0.0019,7737
406,256,5,2,1,0,2048,0.0021,8025
407,256,5,2,1,0,4096,0.0021,7740
408,256,5,2,1,0,32768,0.002,7504
409,256,5,2,1,0,65536,0.002,7495
410,256,5,2,2,0,1024,0.0017,8050
411,256,5,2,2,0,2048,0.0017,7518
412,256,5,2,2,0,4096,0.0018,7525
413,256,5,2,2,0,8192,0.0018,7261
414,256,5,2,2,0,16384,0.0017,7138
415,256,5,2,2,0,32768,0.0016,7154
416,256,5,2,3,0,1024,0.0016,8509
417,256,5,2,3,0,32768,0.0016,7071
418,256,5,3,1,0,1024,0.0013,8151
419,256,5,3,1,0,2048,0.0014,8201
420,256,5,3,1,0,4096,0.0014,7610
421,256,5,3,1,0,8192,0.0013,7463
422,256,5,3,1,0,16384,0.0013,7527
423,256,5,3,1,0,65536,0.0013,7524
424,256,5,3,2,0,1024,0.0018,8008
425,256,5,3,2,0,2048,0.0019,7833
426,256,5,3,2,0,8192,0.0018,7401
427,256,5,3,2,0,16384,0.0018,7074
428,256,5,3,2,0,32768,0.0017,7440
429,256,5,3,2,0,65536,0.0018,7128
430,256,5,3,3,0,1024,0.0017,7793
431,256,5,3,3,0,4096,0.0017,7684
432,256,5,3,3,0,65536,0.0016,7124
433,256,5,4,1,0,2048,0.0014,7909
434,256,5,4,1,0,4096,0.0014,7747
435,256,5,4,1,0,16384,0.0013,7094
436,256,5,4,1,0,32768,0.0014,7370
437,256,5,4,1,0,65536,0.0014,7569
438,256,5,4,2,0,1024,0.0017,8295
439,256,5,4,2,0,8192,0.0017,7644
440,256,5,4,2,0,65536,0.0016,7515
441,256,5,4,3,0,2048,0.0015,7484
442,256,5,4,3,0,8192,0.0014,7301
443,256,5,4,3,0,16384,0.0015,7087
444,256,5,4,3,0,65536,0.0015,7212
445,256,5,5,1,0,1024,0.0014,8146
446,256,5,5,1,0,4096,0.0014,7656
447,256,5,5,1,0,8192,0.0013,7188
448,256,5,5,1,0,16384,0.0014,7552
449,256,5,5,1,0,32768,0.0013,7506
450,256,5,5,1,0,65536,0.0014,7546
451,256,5,5,2,0,1024,0.0016,7862
452,256,5,5,2,0,2048,0.0016,7609
453,256,5,5,2,0,4096,0.0016,7736
454,256,5,5,2,0,8192,0.0017,7117
455,256,5,5,2,0,16384,0.0017,7191
456,256,5,5,2,0,32768,0.0016,7656
457,256,5,5,2,0,65536,0.0016,7413
458,256,5,5,3,0,4096,0.0017,7865
459,256,5,5,3,0,8192,0.0016,7463
460,256,5,5,3,0,16384,0.0018,9320
461,256,5,5,3,0,32768,0.0018,9306
462,256,5,5,3,0,65536,0.0016,9337
463,256,5,6,1,0,1024,0.0014,7679
464,256,5,6,1,0,2048,0.0014,7769
465,256,5,6,1,0,16384,0.0012,7052
466,256,5,6,1,0,32768,0.0013,7454
467,256,5,6,2,0,1024,0.0009,7623
468,256,5,6,2,0,4096,0.001,8060
469,256,5,6,2,0,8192,0.001,7100
470,256,5,6,2,0,16384,0.001,7619
471,256,5,6,2,0,32768,0.0009,7491
472,256,5,6,2,0,65536,0.0009,7616
473,256,5,6,3,0,2048,0.0017,7935
474,256,5,6,3,0,16384,0.0018,7088
475,256,5,6,3,0,65536,0.0016,7087
476,256,5,7,1,0,2048,0.0015,7389
477,256,5,7,1,0,4096,0.0016,7953
478,256,5,7,1,0,8192,0.0015,7135
479,256,5,7,1,0,16384,0.0015,7110
480,256,5,7,1,0,32768,0.0015,7308
481,256,5,7,1,0,65536,0.0014,7034
482,256,5,7,2,0,1024,0.0009,7657
483,256,5,7,2,0,2048,0.001,7832
484,256,5,7,2,0,4096,0.001,7775
485,256,5,7,2,0,65536,0.0009,7676
486,256,5,7,3,0,2048,0.0017,7629
487,256,5,7,3,0,4096,0.0015,7490
488,256,5,7,3,0,8192,0.0018,9443
489,256,5,7,3,0,16384,0.0015,7375
490,256,5,7,3,0,32768,0.0015,7379
491,256,5,7,3,0,65536,0.0015,7316
492,256,6,1,1,0,1024,0.0023,7580
493,256,6,1,1,0,4096,0.0024,7386
494,256,6,1,1,0,16384,0.0025,7057
495,256,6,1,1,0,32768,0.0023,7551
496,256,6,1,1,0,65536,0.0023,7530
497,256,6,1,2,0,2048,0.0021,7708
498,256,6,1,2,0,4096,0.0019,7748
499,256,6,1,2,0,8192,0.0021,7435
500,256,6,1,2,0,16384,0.0021,7137
501,256,6,1,2,0,32768,0.002,7409
502,256,6,1,2,0,65536,0.0021,7549
503,256,6,1,3,0,1024,0.0018,8297
504,256,6,1,3,0,2048,0.002,7868
505,256,6,1,3,0,16384,0.0019,7049
506,256,6,1,3,0,32768,0.002,7104
507,256,6,1,3,0,65536,0.0019,7135
508,256,6,2,1,0,1024,0.0019,7737
509,256,6,2,1,0,4096,0.0021,7740
510,256,6,2,1,0,32768,0.002,7504
511,256,6,2,1,0,65536,0.002,7495
512,256,6,2,2,0,1024,0.0017,8050
513,256,6,2,2,0,2048,0.0017,7518
514,256,6,2,2,0,4096,0.0018,7525
515,256,6,2,2,0,16384,0.0017,7138
516,256,6,2,2,0,32768,0.0016,7154
517,256,6,2,2,0,65536,0.0016,7085
518,256,6,2,3,0,2048,0.0018,7987
519,256,6,2,3,0,16384,0.0016,7064
520,256,6,2,3,0,32768,0.0016,7071
521,256,6,2,3,0,65536,0.0016,7637
522,256,6,3,1,0,2048,0.0014,8201
523,256,6,3,1,0,4096,0.0014,7610
524,256,6,3,1,0,8192,0.0013,7463
525,256,6,3,1,0,16384,0.0013,7527
526,256,6,3,1,0,32768,0.0013,7101
527,256,6,3,1,0,65536,0.0013,7524
528,256,6,3,2,0,1024,0.0018,8008
529,256,6,3,2,0,2048,0.0019,7833
530,256,6,3,2,0,4096,0.0018,7974
531,256,6,3,2,0,8192,0.0018,7401
532,256,6,3,2,0,16384,0.0018,7074
533,256,6,3,2,0,32768,0.0017,7440
534,256,6,3,3,0,1024,0.0017,7793
535,256,6,3,3,0,4096,0.0017,7684
536,256,6,3,3,0,16384,0.0017,7036
537,256,6,3,3,0,32768,0.0018,8067
538,256,6,3,3,0,65536,0.0016,7124
539,256,6,4,1,0,1024,0.0014,7988
540,256,6,4,1,0,2048,0.0014,7909
541,256,6,4,1,0,8192,0.0014,7701
542,256,6,4,1,0,32768,0.0014,7370
543,256,6,4,1,0,65536,0.0014,7569
544,256,6,4,2,0,1024,0.0017,8295
545,256,6,4,2,0,8192,0.0017,7644
546,256,6,4,2,0,65536,0.0016,7515
547,256,6,4,3,0,2048,0.0015,7484
548,256,6,4,3,0,4096,0.0016,7526
549,256,6,4,3,0,8192,0.0014,7301
550,256,6,4,3,0,16384,0.0015,7087
551,256,6,4,3,0,65536,0.0015,7212
552,256,6,5,1,0,1024,0.0014,8146
553,256,6,5,1,0,4096,0.0014,7656
554,256,6,5,1,0,8192,0.0013,7188
555,256,6,5,1,0,16384,0.0014,7552
556,256,6,5,1,0,32768,0.0013,7506
557,256,6,5,1,0,65536,0.0014,7546
558,256,6,5,2,0,1024,0.0016,7862
559,256,6,5,2,0,2048,0.0016,7609
560,256,6,5,2,0,4096,0.0016,7736
561,256,6,5,2,0,16384,0.0017,7191
562,256,6,5,2,0,32768,0.0016,7656
563,256,6,5,2,0,65536,0.0016,7413
564,256,6,5,3,0,4096,0.0017,7865
565,256,6,5,3,0,16384,0.0018,9320
566,256,6,5,3,0,32768,0.0018,9306
567,256,6,5,3,0,65536,0.0016,9337
568,256,6,6,1,0,1024,0.0014,7679
569,256,6,6,1,0,2048,0.0014,7769
570,256,6,6,1,0,4096,0.0013,7255
571,256,6,6,1,0,8192,0.0013,7603
572,256,6,6,1,0,16384,0.0012,7052
573,256,6,6,1,0,32768,0.0013,7454
574,256,6,6,1,0,65536,0.0013,7439
575,256,6,6,2,0,1024,0.0009,7623
576,256,6,6,2,0,4096,0.001,8060
577,256,6,6,2,0,8192,0.001,7100
578,256,6,6,2,0,16384,0.001,7619
579,256,6,6,2,0,32768,0.0009,7491
580,256,6,6,2,0,65536,0.0009,7616
581,256,6,6,3,0,2048,0.0016,7941
582,256,6,6,3,0,32768,0.0018,7262
583,256,6,7,1,0,2048,0.0015,7389
584,256,6,7,1,0,4096,0.0016,7953
585,256,6,7,1,0,65536,0.0014,7034
586,256,6,7,2,0,1024,0.0009,7657
587,256,6,7,2,0,2048,0.001,7832
588,256,6,7,2,0,8192,0.001,7110
589,256,6,7,2,0,65536,0.0009,7676
590,256,6,7,3,0,2048,0.0017,7629
591,256,6,7,3,0,8192,0.0018,9443
592,256,6,7,3,0,16384,0.0015,7390
593,256,6,7,3,0,32768,0.0015,7379
594,256,6,7,3,0,65536,0.0015,7316
