n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0593,1,256,8,2,1,1,0,3,2,0.000489,229
0594,1,256,8,2,1,1,0,4,0,0.000492,178
0595,1,256,8,2,1,1,0,4,1,0.000443,171
0596,1,256,8,2,1,1,0,4,2,0.000443,171
0597,1,256,8,2,1,1,0,5,0,0.000496,228
0598,1,256,8,2,1,1,0,5,1,0.000504,268
0599,1,256,8,2,1,1,0,5,2,0.000504,268
0606,1,256,8,2,1,1,0,8,0,0.000481,190
0607,1,256,8,2,1,1,0,8,1,0.000414,217
0608,1,256,8,2,1,1,0,8,2,0.000414,217
0609,1,256,8,2,1,1,0,9,0,0.000478,250
0610,1,256,8,2,1,1,0,9,1,0.000479,328
0611,1,256,8,2,1,1,0,9,2,0.000492,324
0615,1,256,8,2,1,1,0,11,0,0.000442,290
0616,1,256,8,2,1,1,0,11,1,0.000517,347
0617,1,256,8,2,1,1,0,11,2,0.000490,341
0627,1,256,8,2,1,1,0,15,0,0.000573,357
0628,1,256,8,2,1,1,0,15,1,0.000500,426
0629,1,256,8,2,1,1,0,15,2,0.000500,426
0630,1,256,8,4,1,1,0,1,0,0.000243,269
0631,1,256,8,4,1,1,0,1,1,0.000223,302
0632,1,256,8,4,1,1,0,1,2,0.000223,302
0633,1,256,8,4,1,1,0,2,0,0.000240,325
0634,1,256,8,4,1,1,0,2,1,0.000198,337
0635,1,256,8,4,1,1,0,2,2,0.000198,337
0639,1,256,8,4,1,1,0,4,0,0.000214,341
0640,1,256,8,4,1,1,0,4,1,0.000193,346
0641,1,256,8,4,1,1,0,4,2,0.000203,339
0648,1,256,8,4,1,1,0,7,0,0.000232,491
0649,1,256,8,4,1,1,0,7,1,0.000227,579
0650,1,256,8,4,1,1,0,7,2,0.000227,579
0651,1,256,8,4,1,1,0,8,0,0.000230,353
0652,1,256,8,4,1,1,0,8,1,0.000220,404
0653,1,256,8,4,1,1,0,8,2,0.000220,404
0654,1,256,8,4,1,1,0,9,0,0.000244,514
0655,1,256,8,4,1,1,0,9,1,0.000232,637
0656,1,256,8,4,1,1,0,9,2,0.000232,637
0675,1,256,8,8,1,1,0,1,0,0.000139,495
0676,1,256,8,8,1,1,0,1,1,0.000114,540
