n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
372,1,2,4,1,4,8,524288,0,0.715856,4961.964
373,1,2,4,1,8,1,4194304,0,0.701338,5425.07
374,1,2,4,1,8,2,2097152,0,0.713157,5643.456
375,1,2,4,1,8,4,1048576,0,0.705666,5877.802
376,1,2,4,1,8,8,524288,0,0.715654,5458.586
377,1,2,4,2,1,1,4194304,0,0.686591,4464.81
378,1,2,4,2,1,2,2097152,0,0.689589,4407.886
379,1,2,4,2,1,4,1048576,0,0.694918,4528.118
380,1,2,4,2,1,8,524288,0,0.720396,4696.762
381,1,2,4,2,2,1,4194304,0,0.688954,4833.752
382,1,2,4,2,2,2,2097152,0,0.691784,4778.158
383,1,2,4,2,2,4,1048576,0,0.696945,4885.622
384,1,2,4,2,2,8,524288,0,0.712762,4947.334
385,1,2,4,2,4,1,4194304,0,0.681727,5492.368
386,1,2,4,2,4,2,2097152,0,0.713192,5792.948
387,1,2,4,2,4,4,1048576,0,0.706532,5844.818
388,1,2,4,2,4,8,524288,0,0.712692,5534.928
389,1,2,4,2,8,1,4194304,0,0.691182,6443.052
390,1,2,4,2,8,2,2097152,0,0.718317,7135.982
391,1,2,4,2,8,4,1048576,0,0.707496,6655.586
392,1,2,4,2,8,8,524288,0,0.722479,6729.002
393,1,2,4,4,1,1,4194304,0,0.698248,4723.362
394,1,2,4,4,1,2,2097152,0,0.694917,4728.682
395,1,2,4,4,1,4,1048576,0,0.700413,4910.892
396,1,2,4,4,1,8,524288,0,0.717065,4852.904
397,1,2,4,4,2,1,4194304,0,0.700608,5665.8
398,1,2,4,4,2,2,2097152,0,0.702106,5627.496
399,1,2,4,4,2,4,1048576,0,0.701107,6115.606
400,1,2,4,4,2,8,524288,0,0.726248,5596.108
401,1,2,4,4,4,1,4194304,0,0.695878,7517.16
402,1,2,4,4,4,2,2097152,0,0.690384,6869.982
403,1,2,4,4,4,4,1048576,0,0.727342,7245.042
404,1,2,4,4,4,8,524288,0,0.742824,7085.176
405,1,2,4,4,8,1,4194304,0,0.716819,10082.464
406,1,2,4,4,8,2,2097152,0,0.711491,9807.686
407,1,2,4,4,8,4,1048576,0,0.748614,9241.638
408,1,2,4,4,8,8,524288,0,0.74129,7929.46
409,1,2,4,8,1,1,4194304,0,0.689089,5136.726
410,1,2,4,8,1,2,2097152,0,0.688589,5175.03
411,1,2,4,8,1,4,1048576,0,0.714401,5708.626
412,1,2,4,8,1,8,524288,0,0.711237,5234.88
413,1,2,4,8,2,1,4194304,0,0.747559,7347.984
414,1,2,4,8,2,2,2097152,0,0.712429,7040.488
415,1,2,4,8,2,4,1048576,0,0.736404,7460.502
416,1,2,4,8,2,8,524288,0,0.738735,6887.538
417,1,2,4,8,4,1,4194304,0,0.739828,9940.952
418,1,2,4,8,4,2,2097152,0,0.722347,10757.306
419,1,2,4,8,4,4,1048576,0,0.721182,9784.544
420,1,2,4,8,4,8,524288,0,0.724512,9411.878
421,1,2,8,1,1,1,4194304,0,0.555175,4221.952
422,1,2,8,1,1,2,2097152,0,0.55295,4279.142
423,1,2,8,1,1,4,1048576,0,0.557399,4378.36
424,1,2,8,1,1,8,524288,0,0.568524,4524.66
425,1,2,8,1,2,1,4194304,0,0.695401,4326.756
426,1,2,8,1,2,2,2097152,0,0.695236,4392.458
427,1,2,8,1,2,4,1048576,0,0.703949,4458.958
428,1,2,8,1,2,8,524288,0,0.719238,4595.948
429,1,2,8,1,4,1,4194304,0,0.68514,4552.59
430,1,2,8,1,4,2,2097152,0,0.700263,4638.242
431,1,2,8,1,4,4,1048576,0,0.697797,4795.98
432,1,2,8,1,4,8,524288,0,0.716043,4788.798
433,1,2,8,1,8,1,4194304,0,0.703515,4960.102
434,1,2,8,1,8,2,2097152,0,0.702529,5022.878
435,1,2,8,1,8,4,1048576,0,0.707789,5200.3
436,1,2,8,1,8,8,524288,0,0.718966,5138.854
437,1,2,8,2,1,1,4194304,0,0.700636,4332.608
438,1,2,8,2,1,2,2097152,0,0.69521,4398.576
439,1,2,8,2,1,4,1048576,0,0.705405,4592.49
440,1,2,8,2,1,8,524288,0,0.716915,4604.726
441,1,2,8,2,2,1,4194304,0,0.694578,4588.234
442,1,2,8,2,2,2,2097152,0,0.694085,4688.516
443,1,2,8,2,2,4,1048576,0,0.703456,4810.078
444,1,2,8,2,2,8,524288,0,0.719073,4800.236
445,1,2,8,2,4,1,4194304,0,0.69944,5125.82
446,1,2,8,2,4,2,2097152,0,0.702399,5202.96
447,1,2,8,2,4,4,1048576,0,0.705522,5567.646
448,1,2,8,2,4,8,524288,0,0.7047,5217.856
449,1,2,8,2,8,1,4194304,0,0.702693,5902.274
450,1,2,8,2,8,2,2097152,0,0.7022,6018.25
451,1,2,8,2,8,4,1048576,0,0.708282,6391.98
452,1,2,8,2,8,8,524288,0,0.710254,5877.27
453,1,2,8,4,1,1,4194304,0,0.694059,4546.738
454,1,2,8,4,1,2,2097152,0,0.700142,4615.366
455,1,2,8,4,1,4,1048576,0,0.714941,4771.774
