Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,1.4454982126414602,catapult,Area,8005.004,latency
Throughput,1.8141280665567305,catapult,Area,4103.050,latency
Throughput,1.7823088028231773,catapult,Area,4371.178,latency
Throughput,1.7499343774608451,catapult,Area,4285.260,latency
Throughput,1.4419257206384268,catapult,Area,4195.618,latency
Throughput,1.411771349512233,catapult,Area,4340.854,latency
Throughput,1.4161457610508934,catapult,Area,4423.580,latency
Throughput,1.438921384530156,catapult,Area,4558.442,latency
Throughput,1.426826623443332,catapult,Area,4707.402,latency
Throughput,1.389780664815479,catapult,Area,4749.164,latency
Throughput,1.4334369230416384,catapult,Area,5173.700,latency
Throughput,1.4320554148163318,catapult,Area,5894.826,latency
Throughput,1.4126488578733984,catapult,Area,5425.336,latency
Throughput,1.4145211916492326,catapult,Area,4221.420,latency
Throughput,1.429157383098499,catapult,Area,4349.898,latency
Throughput,1.419255033033161,catapult,Area,4456.032,latency
Throughput,1.4315019174968184,catapult,Area,4628.666,latency
Throughput,1.408424916163507,catapult,Area,4813.004,latency
Throughput,1.4004562686523268,catapult,Area,4849.712,latency
Throughput,1.451225051627331,catapult,Area,5462.044,latency
Throughput,1.417975103193138,catapult,Area,6057.352,latency
Throughput,1.408561802057627,catapult,Area,5638.934,latency
Throughput,1.442345831259961,catapult,Area,4757.942,latency
Throughput,1.4288143270070197,catapult,Area,4939.354,latency
Throughput,1.433987805367703,catapult,Area,5044.956,latency
Throughput,1.4181761970470737,catapult,Area,5559.134,latency
Throughput,1.4178363816815538,catapult,Area,6199.662,latency
Throughput,1.4134515355737483,catapult,Area,6259.246,latency
Throughput,1.4409471057136434,catapult,Area,5524.820,latency
Throughput,1.4381557091186261,catapult,Area,5483.058,latency
Throughput,1.3975478625204216,catapult,Area,5730.704,latency
Throughput,1.4276597658352452,catapult,Area,5533.598,latency
Throughput,1.4212196622897837,catapult,Area,5610.472,latency
Throughput,1.406527129798543,catapult,Area,4690.910,latency
Throughput,1.4097830484866685,catapult,Area,7506.254,latency
Throughput,1.4194766389632143,catapult,Area,7308.882,latency
Throughput,1.4177961776215053,catapult,Area,5224.772,latency
Throughput,1.4003601726364021,catapult,Area,10774.064,latency
Throughput,1.3733811269965528,catapult,Area,10975.692,latency
Throughput,1.4169283260975525,catapult,Area,6134.492,latency
Throughput,1.38680675263944,catapult,Area,16886.744,latency
Throughput,1.3715596141528494,catapult,Area,17210.199,latency
Throughput,1.3797766141661665,catapult,Area,7881.846,latency
Throughput,1.4414123534804342,catapult,Area,7553.070,latency
Throughput,1.4025737227813035,catapult,Area,7367.136,latency
Throughput,1.402902324328571,catapult,Area,5304.572,latency
Throughput,1.4038358410520906,catapult,Area,10498.488,latency
Throughput,1.4091215254585985,catapult,Area,10821.412,latency
Throughput,1.402849186698184,catapult,Area,6488.804,latency
Throughput,1.4052897918344232,catapult,Area,17117.365,latency
Throughput,1.4206280880903064,catapult,Area,17170.301,latency
Throughput,1.3562724208784576,catapult,Area,8554.028,latency
Throughput,1.4286836822893227,catapult,Area,10659.950,latency
Throughput,1.4222343586220825,catapult,Area,10992.450,latency
Throughput,1.3767675974992395,catapult,Area,6425.496,latency
Throughput,1.395653933650612,catapult,Area,16486.414,latency
