n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0574,4,1,4,3,2,0.5264,3102
0575,4,1,4,3,4,0.6331,4033
0576,4,1,4,3,8,0.5928,4508
0577,4,1,4,3,16,0.6158,5163
0578,4,1,4,3,32,0.6115,6783
0579,4,1,4,3,64,0.6115,6783
0581,4,1,4,4,2,0.5591,4132
0582,4,1,4,4,4,0.6325,5086
0583,4,1,4,4,8,0.6447,5391
0584,4,1,4,4,16,0.6116,6256
0585,4,1,4,4,32,0.6688,8773
0586,4,1,4,4,64,0.6688,8773
0588,4,1,4,5,2,0.5660,4971
0589,4,1,4,5,4,0.6748,6030
0590,4,1,4,5,8,0.6654,6658
0591,4,1,4,5,16,0.6227,7717
0592,4,1,4,5,32,0.6227,7717
0595,4,2,1,1,2,0.6306,1628
0596,4,2,1,1,4,0.5939,1653
0597,4,2,1,1,8,0.6171,1685
0598,4,2,1,1,16,0.6175,1746
0599,4,2,1,1,32,0.6163,1867
0600,4,2,1,1,64,0.6170,2112
0601,4,2,1,1,128,0.6543,2472
0602,4,2,1,2,2,0.6427,2249
0603,4,2,1,2,4,0.7110,2359
0604,4,2,1,2,8,0.6724,2324
0605,4,2,1,2,16,0.6579,2471
0606,4,2,1,2,32,0.6714,2714
0607,4,2,1,2,64,0.6560,3316
0608,4,2,1,2,128,0.6540,4008
0609,4,2,1,3,2,0.7595,2773
0610,4,2,1,3,4,0.7512,2986
0611,4,2,1,3,8,0.6592,2922
0612,4,2,1,3,16,0.6511,3049
0613,4,2,1,3,32,0.6528,3584
0614,4,2,1,3,64,0.6715,4134
0615,4,2,1,3,128,0.7093,5607
0616,4,2,1,4,2,0.7462,3278
0617,4,2,1,4,4,0.7338,3469
0618,4,2,1,4,8,0.7698,3672
0619,4,2,1,4,16,0.7242,3939
0620,4,2,1,4,32,0.7276,4553
0621,4,2,1,4,64,0.8462,5284
0622,4,2,1,4,128,0.8462,5284
0623,4,2,1,5,2,0.8246,3715
0624,4,2,1,5,4,0.8582,3742
0625,4,2,1,5,8,0.8747,3979
0626,4,2,1,5,16,0.8089,4211
0627,4,2,1,5,32,0.8713,5013
0628,4,2,1,5,64,0.8205,6075
0629,4,2,1,5,128,0.8205,6075
0630,4,2,2,1,2,0.5531,1790
0631,4,2,2,1,4,0.5668,1893
0632,4,2,2,1,8,0.5934,1880
0633,4,2,2,1,16,0.5780,2041
0634,4,2,2,1,32,0.5583,2342
0635,4,2,2,1,64,0.6082,2836
0636,4,2,2,1,128,0.5456,3690
0637,4,2,2,2,2,0.6304,2474
0638,4,2,2,2,4,0.6125,2699
0639,4,2,2,2,8,0.6649,2829
0640,4,2,2,2,16,0.6524,3089
0641,4,2,2,2,32,0.6087,3664
0642,4,2,2,2,64,0.5848,4456
0643,4,2,2,2,128,0.5946,6277
0644,4,2,2,3,2,0.6632,3189
0645,4,2,2,3,4,0.6176,3448
0646,4,2,2,3,8,0.6152,3635
0647,4,2,2,3,16,0.7926,3973
0648,4,2,2,3,32,0.6260,5005
0649,4,2,2,3,64,0.7144,6020
0650,4,2,2,3,128,0.7144,6020
0651,4,2,2,4,2,0.6719,3742
0652,4,2,2,4,4,0.6779,4313
0653,4,2,2,4,8,0.6803,4592
0654,4,2,2,4,16,0.6774,5058
0655,4,2,2,4,32,0.6552,6255
0656,4,2,2,4,64,0.7574,7797
0658,4,2,2,5,2,0.7631,4105
0659,4,2,2,5,4,0.7989,4774
0660,4,2,2,5,8,0.7715,5107
0661,4,2,2,5,16,0.8146,5663
0662,4,2,2,5,32,0.8190,7610
0663,4,2,2,5,64,0.8190,7610
0665,4,2,3,1,2,0.7832,2056
0666,4,2,3,1,4,0.5963,2079
0667,4,2,3,1,8,0.6226,2206
0668,4,2,3,1,16,0.5837,2344
0669,4,2,3,1,32,0.5796,2829
0670,4,2,3,1,64,0.5838,3449
0671,4,2,3,1,128,0.5932,4778
0672,4,2,3,2,2,0.8673,3153
