n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0396,2,3,2,4,64,1,0,0.000022,6468.854,285
0397,2,3,2,4,64,2,0,0.000026,6457.416,299
0398,2,3,2,4,32,1,0,0.000023,8399.216,337
0399,2,3,2,4,32,2,0,0.000026,8241.212,353
0400,2,3,3,1,512,1,0,0.000055,4560.836,224
0401,2,3,3,1,512,2,0,0.000058,4648.616,256
0402,2,3,3,1,256,1,0,0.000055,4832.156,226
0403,2,3,3,1,256,2,0,0.000058,4997.342,258
0404,2,3,3,1,128,1,0,0.000056,5375.328,230
0405,2,3,3,1,128,2,0,0.000061,5522.426,262
0406,2,3,3,1,64,1,0,0.000056,5914.776,245
0407,2,3,3,1,64,2,0,0.000060,5936.322,277
0408,2,3,3,1,32,1,0,0.000057,7394.800,280
0409,2,3,3,1,32,2,0,0.000061,7462.896,312
0410,2,3,3,2,512,1,0,0.000020,4392.192,202
0411,2,3,3,2,512,2,0,0.000025,5144.706,297
0412,2,3,3,2,256,1,0,0.000022,5242.594,262
0413,2,3,3,2,256,2,0,0.000026,5306.434,268
0414,2,3,3,2,128,1,0,0.000022,5936.056,267
0415,2,3,3,2,128,2,0,0.000025,5995.108,273
0416,2,3,3,2,64,1,0,0.000022,6468.854,285
0417,2,3,3,2,64,2,0,0.000026,6457.416,299
0418,2,3,3,2,32,1,0,0.000023,8399.216,337
0419,2,3,3,2,32,2,0,0.000026,8241.212,353
0420,2,3,3,3,512,1,0,0.000020,4392.192,202
0421,2,3,3,3,512,2,0,0.000025,5144.706,297
0422,2,3,3,3,256,1,0,0.000022,5242.594,262
0423,2,3,3,3,256,2,0,0.000026,5306.434,268
0424,2,3,3,3,128,1,0,0.000022,5936.056,267
0425,2,3,3,3,128,2,0,0.000025,5995.108,273
0426,2,3,3,3,64,1,0,0.000022,6468.854,285
0427,2,3,3,3,64,2,0,0.000026,6457.416,299
0428,2,3,3,3,32,1,0,0.000023,8399.216,337
0429,2,3,3,3,32,2,0,0.000026,8241.212,353
0430,2,3,3,4,512,1,0,0.000020,4392.192,202
0431,2,3,3,4,512,2,0,0.000025,5144.706,297
0432,2,3,3,4,256,1,0,0.000022,5242.594,262
0433,2,3,3,4,256,2,0,0.000026,5306.434,268
0434,2,3,3,4,128,1,0,0.000022,5936.056,267
0435,2,3,3,4,128,2,0,0.000025,5995.108,273
0436,2,3,3,4,64,1,0,0.000022,6468.854,285
0437,2,3,3,4,64,2,0,0.000026,6457.416,299
0438,2,3,3,4,32,1,0,0.000023,8399.216,337
0439,2,3,3,4,32,2,0,0.000026,8241.212,353
0440,2,3,4,1,512,1,0,0.000055,4560.836,224
0441,2,3,4,1,512,2,0,0.000058,4648.616,256
0442,2,3,4,1,256,1,0,0.000055,4832.156,226
0443,2,3,4,1,256,2,0,0.000058,4997.342,258
0444,2,3,4,1,128,1,0,0.000056,5375.328,230
0445,2,3,4,1,128,2,0,0.000061,5522.426,262
0446,2,3,4,1,64,1,0,0.000056,5914.776,245
0447,2,3,4,1,64,2,0,0.000060,5936.322,277
0448,2,3,4,1,32,1,0,0.000057,7394.800,280
0449,2,3,4,1,32,2,0,0.000061,7462.896,312
0450,2,3,4,2,512,1,0,0.000020,4392.192,202
0451,2,3,4,2,512,2,0,0.000025,5144.706,297
0452,2,3,4,2,256,1,0,0.000022,5242.594,262
0453,2,3,4,2,256,2,0,0.000026,5306.434,268
0454,2,3,4,2,128,1,0,0.000022,5936.056,267
0455,2,3,4,2,128,2,0,0.000025,5995.108,273
0456,2,3,4,2,64,1,0,0.000022,6468.854,285
0457,2,3,4,2,64,2,0,0.000026,6457.416,299
0458,2,3,4,2,32,1,0,0.000023,8399.216,337
0459,2,3,4,2,32,2,0,0.000026,8241.212,353
0460,2,3,4,3,512,1,0,0.000020,4392.192,202
0461,2,3,4,3,512,2,0,0.000025,5144.706,297
0462,2,3,4,3,256,1,0,0.000022,5242.594,262
0463,2,3,4,3,256,2,0,0.000026,5306.434,268
0464,2,3,4,3,128,1,0,0.000022,5936.056,267
0465,2,3,4,3,128,2,0,0.000025,5995.108,273
0466,2,3,4,3,64,1,0,0.000022,6468.854,285
0467,2,3,4,3,64,2,0,0.000026,6457.416,299
0468,2,3,4,3,32,1,0,0.000023,8399.216,337
