n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
403,2,3,3,1,256,2,0,5.8E-05,4997.342
404,2,3,3,1,128,1,0,5.6E-05,5375.328
405,2,3,3,1,128,2,0,6.1E-05,5522.426
406,2,3,3,1,64,1,0,5.6E-05,5914.776
407,2,3,3,1,64,2,0,6E-05,5936.322
408,2,3,3,1,32,1,0,5.7E-05,7394.8
409,2,3,3,1,32,2,0,6.1E-05,7462.896
410,2,3,3,2,512,1,0,2E-05,4392.192
411,2,3,3,2,512,2,0,2.5E-05,5144.706
412,2,3,3,2,256,1,0,2.2E-05,5242.594
413,2,3,3,2,256,2,0,2.6E-05,5306.434
414,2,3,3,2,128,1,0,2.2E-05,5936.056
415,2,3,3,2,128,2,0,2.5E-05,5995.108
416,2,3,3,2,64,1,0,2.2E-05,6468.854
417,2,3,3,2,64,2,0,2.6E-05,6457.416
418,2,3,3,2,32,1,0,2.3E-05,8399.216
419,2,3,3,2,32,2,0,2.6E-05,8241.212
420,2,3,3,3,512,1,0,2E-05,4392.192
421,2,3,3,3,512,2,0,2.5E-05,5144.706
422,2,3,3,3,256,1,0,2.2E-05,5242.594
423,2,3,3,3,256,2,0,2.6E-05,5306.434
424,2,3,3,3,128,1,0,2.2E-05,5936.056
425,2,3,3,3,128,2,0,2.5E-05,5995.108
426,2,3,3,3,64,1,0,2.2E-05,6468.854
427,2,3,3,3,64,2,0,2.6E-05,6457.416
428,2,3,3,3,32,1,0,2.3E-05,8399.216
429,2,3,3,3,32,2,0,2.6E-05,8241.212
430,2,3,3,4,512,1,0,2E-05,4392.192
431,2,3,3,4,512,2,0,2.5E-05,5144.706
432,2,3,3,4,256,1,0,2.2E-05,5242.594
433,2,3,3,4,256,2,0,2.6E-05,5306.434
434,2,3,3,4,128,1,0,2.2E-05,5936.056
435,2,3,3,4,128,2,0,2.5E-05,5995.108
436,2,3,3,4,64,1,0,2.2E-05,6468.854
437,2,3,3,4,64,2,0,2.6E-05,6457.416
438,2,3,3,4,32,1,0,2.3E-05,8399.216
439,2,3,3,4,32,2,0,2.6E-05,8241.212
440,2,3,4,1,512,1,0,5.5E-05,4560.836
441,2,3,4,1,512,2,0,5.8E-05,4648.616
442,2,3,4,1,256,1,0,5.5E-05,4832.156
443,2,3,4,1,256,2,0,5.8E-05,4997.342
444,2,3,4,1,128,1,0,5.6E-05,5375.328
445,2,3,4,1,128,2,0,6.1E-05,5522.426
446,2,3,4,1,64,1,0,5.6E-05,5914.776
447,2,3,4,1,64,2,0,6E-05,5936.322
448,2,3,4,1,32,1,0,5.7E-05,7394.8
449,2,3,4,1,32,2,0,6.1E-05,7462.896
450,2,3,4,2,512,1,0,2E-05,4392.192
451,2,3,4,2,512,2,0,2.5E-05,5144.706
452,2,3,4,2,256,1,0,2.2E-05,5242.594
453,2,3,4,2,256,2,0,2.6E-05,5306.434
454,2,3,4,2,128,1,0,2.2E-05,5936.056
455,2,3,4,2,128,2,0,2.5E-05,5995.108
456,2,3,4,2,64,1,0,2.2E-05,6468.854
457,2,3,4,2,64,2,0,2.6E-05,6457.416
458,2,3,4,2,32,1,0,2.3E-05,8399.216
459,2,3,4,2,32,2,0,2.6E-05,8241.212
460,2,3,4,3,512,1,0,2E-05,4392.192
461,2,3,4,3,512,2,0,2.5E-05,5144.706
462,2,3,4,3,256,1,0,2.2E-05,5242.594
463,2,3,4,3,256,2,0,2.6E-05,5306.434
464,2,3,4,3,128,1,0,2.2E-05,5936.056
465,2,3,4,3,128,2,0,2.5E-05,5995.108
466,2,3,4,3,64,1,0,2.2E-05,6468.854
467,2,3,4,3,64,2,0,2.6E-05,6457.416
468,2,3,4,3,32,1,0,2.3E-05,8399.216
469,2,3,4,3,32,2,0,2.6E-05,8241.212
470,2,3,4,4,512,1,0,2E-05,4392.192
471,2,3,4,4,512,2,0,2.5E-05,5144.706
472,2,3,4,4,256,1,0,2.2E-05,5242.594
473,2,3,4,4,256,2,0,2.6E-05,5306.434
474,2,3,4,4,128,1,0,2.2E-05,5936.056
475,2,3,4,4,128,2,0,2.5E-05,5995.108
476,2,3,4,4,64,1,0,2.2E-05,6468.854
477,2,3,4,4,64,2,0,2.6E-05,6457.416
478,2,3,4,4,32,1,0,2.3E-05,8399.216
479,2,3,4,4,32,2,0,2.6E-05,8241.212
480,4,1,1,1,512,1,0,0.000125,5809.44
481,4,1,1,1,512,2,0,0.000126,5806.514
482,4,1,1,1,512,4,0,0.000124,4908.232
483,4,1,1,1,256,1,0,0.000124,6163.22
484,4,1,1,1,256,2,0,0.000124,6163.22
485,4,1,1,1,256,4,0,0.000124,5216.526
486,4,1,1,1,128,1,0,0.000125,6410.6
487,4,1,1,1,128,2,0,0.000128,6423.368
488,4,1,1,1,128,4,0,0.000126,5518.968
