n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2,FF
748,82944,5,16,0,0.354543,7486.038,316
749,82944,5,32,0,0.356893,7266.056,317
750,82944,6,1,0,0.383603,10779.384,483
751,82944,6,2,0,0.349159,10666.866,390
752,82944,6,4,0,0.397278,7942.228,309
753,82944,6,8,0,0.343739,8542.856,313
754,82944,6,16,0,0.286946,8235.626,314
755,82944,6,32,0,0.289255,8473.164,315
756,82944,7,1,0,0.376194,9421.188,455
757,82944,7,2,0,0.342326,10564.19,375
758,82944,7,4,0,0.318545,8423.156,312
759,82944,7,8,0,0.297521,8169.924,316
760,82944,7,16,0,0.369571,8197.056,317
761,82944,7,32,0,0.352561,7969.892,318
762,82944,8,1,0,0.448417,16044.056,446
763,82944,8,2,0,0.336432,15811.838,392
764,82944,8,4,0,0.476396,11774.756,339
765,82944,8,8,0,0.395802,12302.766,342
766,82944,8,16,0,0.335362,11482.156,337
767,82944,8,32,0,0.310694,11992.078,338
