n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
1302,2,256,8,1,1,1,0,15,0,0.0008,490
1303,2,256,8,1,1,1,0,15,1,0.0005,570
1304,2,256,8,1,1,1,0,15,2,0.0005,570
1305,2,256,8,2,1,1,0,1,0,0.0005,319
1306,2,256,8,2,1,1,0,1,1,0.0003,352
1307,2,256,8,2,1,1,0,1,2,0.0003,352
1308,2,256,8,2,1,1,0,2,0,0.0005,406
1309,2,256,8,2,1,1,0,2,1,0.0003,429
1310,2,256,8,2,1,1,0,2,2,0.0003,429
1311,2,256,8,2,1,1,0,3,0,0.0006,443
1312,2,256,8,2,1,1,0,3,1,0.0004,484
1313,2,256,8,2,1,1,0,3,2,0.0004,484
1314,2,256,8,2,1,1,0,4,0,0.0005,504
1315,2,256,8,2,1,1,0,4,1,0.0004,464
1316,2,256,8,2,1,1,0,4,2,0.0004,464
1317,2,256,8,2,1,1,0,5,0,0.0006,555
1318,2,256,8,2,1,1,0,5,1,0.0004,532
1319,2,256,8,2,1,1,0,5,2,0.0004,532
1320,2,256,8,2,1,1,0,6,0,0.0006,606
1321,2,256,8,2,1,1,0,6,1,0.0004,597
1322,2,256,8,2,1,1,0,6,2,0.0004,597
1323,2,256,8,2,1,1,0,7,0,0.0006,656
1324,2,256,8,2,1,1,0,7,1,0.0004,714
1325,2,256,8,2,1,1,0,7,2,0.0004,714
1326,2,256,8,2,1,1,0,8,0,0.0006,679
1327,2,256,8,2,1,1,0,8,1,0.0004,654
1328,2,256,8,2,1,1,0,8,2,0.0004,654
1329,2,256,8,2,1,1,0,9,0,0.0006,814
1330,2,256,8,2,1,1,0,9,1,0.0005,777
1331,2,256,8,2,1,1,0,9,2,0.0005,777
1332,2,256,8,2,1,1,0,10,0,0.0006,810
1333,2,256,8,2,1,1,0,10,1,0.0005,851
1334,2,256,8,2,1,1,0,10,2,0.0005,851
1335,2,256,8,2,1,1,0,11,0,0.0006,859
1336,2,256,8,2,1,1,0,11,1,0.0005,973
1337,2,256,8,2,1,1,0,11,2,0.0005,973
1338,2,256,8,2,1,1,0,12,0,0.0006,933
1339,2,256,8,2,1,1,0,12,1,0.0005,1014
1340,2,256,8,2,1,1,0,12,2,0.0005,1014
1341,2,256,8,2,1,1,0,13,0,0.0006,964
1342,2,256,8,2,1,1,0,13,1,0.0005,1108
1343,2,256,8,2,1,1,0,13,2,0.0005,1108
1344,2,256,8,2,1,1,0,14,0,0.0006,994
1345,2,256,8,2,1,1,0,14,1,0.0005,1133
1346,2,256,8,2,1,1,0,14,2,0.0005,1133
1347,2,256,8,2,1,1,0,15,0,0.0006,1088
1348,2,256,8,2,1,1,0,15,1,0.0005,1241
1349,2,256,8,2,1,1,0,15,2,0.0005,1241
1350,2,256,8,4,1,1,0,1,0,0.0003,578
1351,2,256,8,4,1,1,0,1,1,0.0002,647
1352,2,256,8,4,1,1,0,1,2,0.0002,647
1353,2,256,8,4,1,1,0,2,0,0.0003,762
1354,2,256,8,4,1,1,0,2,1,0.0002,820
1355,2,256,8,4,1,1,0,2,2,0.0002,820
1356,2,256,8,4,1,1,0,3,0,0.0003,904
1357,2,256,8,4,1,1,0,3,1,0.0002,886
1358,2,256,8,4,1,1,0,3,2,0.0002,886
1359,2,256,8,4,1,1,0,4,0,0.0003,884
1360,2,256,8,4,1,1,0,4,1,0.0002,910
1361,2,256,8,4,1,1,0,4,2,0.0002,910
1362,2,256,8,4,1,1,0,5,0,0.0003,1076
1363,2,256,8,4,1,1,0,5,1,0.0002,1007
1364,2,256,8,4,1,1,0,5,2,0.0002,1007
1365,2,256,8,4,1,1,0,6,0,0.0003,1171
1366,2,256,8,4,1,1,0,6,1,0.0002,1171
1367,2,256,8,4,1,1,0,6,2,0.0002,1171
1368,2,256,8,4,1,1,0,7,0,0.0003,1253
1369,2,256,8,4,1,1,0,7,1,0.0002,1297
1370,2,256,8,4,1,1,0,7,2,0.0002,1297
1371,2,256,8,4,1,1,0,8,0,0.0003,1301
1372,2,256,8,4,1,1,0,8,1,0.0002,1233
1373,2,256,8,4,1,1,0,8,2,0.0002,1233
1374,2,256,8,4,1,1,0,9,0,0.0003,1462
1375,2,256,8,4,1,1,0,9,1,0.0003,1508
1376,2,256,8,4,1,1,0,9,2,0.0003,1508
1377,2,256,8,4,1,1,0,10,0,0.0003,1559
1378,2,256,8,4,1,1,0,10,1,0.0002,1581
1379,2,256,8,4,1,1,0,10,2,0.0002,1581
1380,2,256,8,4,1,1,0,11,0,0.0003,1601
1381,2,256,8,4,1,1,0,11,1,0.0003,1846
1382,2,256,8,4,1,1,0,11,2,0.0003,1846
1383,2,256,8,4,1,1,0,12,0,0.0003,1718
1384,2,256,8,4,1,1,0,12,1,0.0003,1919
1385,2,256,8,4,1,1,0,12,2,0.0003,1919
1386,2,256,8,4,1,1,0,13,0,0.0003,1930
1387,2,256,8,4,1,1,0,13,1,0.0003,2099
1388,2,256,8,4,1,1,0,13,2,0.0003,2099
1389,2,256,8,4,1,1,0,14,0,0.0003,1900
1390,2,256,8,4,1,1,0,14,1,0.0003,2261
1391,2,256,8,4,1,1,0,14,2,0.0003,2261
1392,2,256,8,4,1,1,0,15,0,0.0003,2126
1393,2,256,8,4,1,1,0,15,1,0.0003,2390
1394,2,256,8,4,1,1,0,15,2,0.0003,2390
1395,2,256,8,8,1,1,0,1,0,0.0002,1144
1396,2,256,8,8,1,1,0,1,1,0.0001,1313
1397,2,256,8,8,1,1,0,1,2,0.0001,1313
1398,2,256,8,8,1,1,0,2,0,0.0002,1388
1399,2,256,8,8,1,1,0,2,1,0.0001,1430
1400,2,256,8,8,1,1,0,2,2,0.0001,1430
1401,2,256,8,8,1,1,0,3,0,0.0002,1640
1402,2,256,8,8,1,1,0,3,1,0.0001,1685
1403,2,256,8,8,1,1,0,3,2,0.0001,1685
1404,2,256,8,8,1,1,0,4,0,0.0002,1819
1405,2,256,8,8,1,1,0,4,1,0.0001,1707
1406,2,256,8,8,1,1,0,4,2,0.0001,1707
1407,2,256,8,8,1,1,0,5,0,0.0002,1982
1408,2,256,8,8,1,1,0,5,1,0.0002,1864
1409,2,256,8,8,1,1,0,5,2,0.0002,1864
1410,2,256,8,8,1,1,0,6,0,0.0002,2100
1411,2,256,8,8,1,1,0,6,1,0.0002,2056
1412,2,256,8,8,1,1,0,6,2,0.0002,2056
1413,2,256,8,8,1,1,0,7,0,0.0002,2362
1414,2,256,8,8,1,1,0,7,1,0.0002,2277
1415,2,256,8,8,1,1,0,7,2,0.0002,2277
1416,2,256,8,8,1,1,0,8,0,0.0002,2481
1417,2,256,8,8,1,1,0,8,1,0.0002,2306
1418,2,256,8,8,1,1,0,8,2,0.0002,2306
1419,2,256,8,8,1,1,0,9,0,0.0002,2640
1420,2,256,8,8,1,1,0,9,1,0.0002,2585
1421,2,256,8,8,1,1,0,9,2,0.0002,2585
1422,2,256,8,8,1,1,0,10,0,0.0002,2825
1423,2,256,8,8,1,1,0,10,1,0.0002,2913
1424,2,256,8,8,1,1,0,10,2,0.0002,2913
1425,2,256,8,8,1,1,0,11,0,0.0002,2888
1426,2,256,8,8,1,1,0,11,1,0.0002,3124
1427,2,256,8,8,1,1,0,11,2,0.0002,3124
1428,2,256,8,8,1,1,0,12,0,0.0002,3175
1429,2,256,8,8,1,1,0,12,1,0.0002,3227
1430,2,256,8,8,1,1,0,12,2,0.0002,3227
1431,2,256,8,8,1,1,0,13,0,0.0002,3225
1432,2,256,8,8,1,1,0,13,1,0.0002,3487
1433,2,256,8,8,1,1,0,13,2,0.0002,3487
1434,2,256,8,8,1,1,0,14,0,0.0002,3266
1435,2,256,8,8,1,1,0,14,1,0.0002,3700
1436,2,256,8,8,1,1,0,14,2,0.0002,3700
1437,2,256,8,8,1,1,0,15,0,0.0002,3589
1438,2,256,8,8,1,1,0,15,1,0.0002,3884
1439,2,256,8,8,1,1,0,15,2,0.0002,3884
1440,3,256,1,1,1,1,0,1,0,0.0008,134
1441,3,256,1,1,1,1,0,1,1,0.0003,151
1442,3,256,1,1,1,1,0,1,2,0.0003,151
1443,3,256,1,1,1,1,0,2,0,0.0006,178
1444,3,256,1,1,1,1,0,2,1,0.0003,174
1446,3,256,1,1,1,1,0,3,0,0.0004,225
1447,3,256,1,1,1,1,0,3,1,0.0003,203
1448,3,256,1,1,1,1,0,3,2,0.0003,203
1449,3,256,1,1,1,1,0,4,0,0.0006,248
1450,3,256,1,1,1,1,0,4,1,0.0003,249
1451,3,256,1,1,1,1,0,4,2,0.0003,249
1452,3,256,1,1,1,1,0,5,0,0.0007,273
1453,3,256,1,1,1,1,0,5,1,0.0004,267
1454,3,256,1,1,1,1,0,5,2,0.0004,267
1455,3,256,1,1,1,1,0,6,0,0.0006,283
1456,3,256,1,1,1,1,0,6,1,0.0003,294
1457,3,256,1,1,1,1,0,6,2,0.0003,294
