n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
8212,20,400,1,2,2,1,3,400,160000,0,1.518678,101
8213,20,400,1,2,2,1,4,400,160000,0,1.934141,116
8214,20,400,1,2,2,2,1,400,160000,0,1.185433,104
8215,20,400,1,2,2,2,2,400,160000,0,1.67188,111
8216,20,400,1,2,2,2,3,400,160000,0,1.38352,93
8217,20,400,1,2,2,2,4,400,160000,0,1.889554,105
8218,20,400,1,2,2,3,1,400,160000,0,1.280371,110
8219,20,400,1,2,2,3,2,400,160000,0,1.47255,115
8220,20,400,1,2,2,3,3,400,160000,0,1.440716,102
8221,20,400,1,2,2,3,4,400,160000,0,2.039309,113
8222,20,400,1,2,2,4,1,400,160000,0,1.655616,115
8223,20,400,1,2,2,4,2,400,160000,0,1.831857,117
8224,20,400,1,2,2,4,3,400,160000,0,1.679308,114
8225,20,400,1,2,2,4,4,400,160000,0,2.059972,110
8226,20,400,1,2,3,1,1,400,160000,0,1.41848,105
8227,20,400,1,2,3,1,2,400,160000,0,1.679442,100
8228,20,400,1,2,3,1,3,400,160000,0,1.30424,113
8229,20,400,1,2,3,1,4,400,160000,0,1.838735,115
8230,20,400,1,2,3,2,1,400,160000,0,1.221103,108
8231,20,400,1,2,3,2,2,400,160000,0,1.737028,108
8232,20,400,1,2,3,2,3,400,160000,0,1.374008,120
8233,20,400,1,2,3,2,4,400,160000,0,1.864789,120
8234,20,400,1,2,3,3,1,400,160000,0,1.538746,123
8235,20,400,1,2,3,3,2,400,160000,0,1.568471,104
8236,20,400,1,2,3,3,3,400,160000,0,1.621915,109
8237,20,400,1,2,3,3,4,400,160000,0,2.14987,133
8238,20,400,1,2,3,4,1,400,160000,0,1.469425,112
8239,20,400,1,2,3,4,2,400,160000,0,1.894752,111
8240,20,400,1,2,3,4,3,400,160000,0,1.508913,115
8241,20,400,1,2,3,4,4,400,160000,0,2.064016,122
8242,20,400,1,2,4,1,1,400,160000,0,1.244797,105
8243,20,400,1,2,4,1,2,400,160000,0,1.458265,105
