n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0270,16,2,2,3,3,4,0.000002,1441,7667,3939,12,0
0271,16,2,2,3,3,8,0.000002,1989,10974,4199,12,0
0272,16,2,2,3,3,16,0.000001,3698,18114,3716,12,0
0273,16,2,2,3,4,4,0.000002,1668,9101,4326,12,0
0274,16,2,2,3,4,8,0.000002,2473,13861,4641,12,0
0275,16,2,2,3,4,16,0.000001,4154,22237,3942,12,0
0276,16,2,2,4,1,4,0.000001,820,4466,2711,12,0
0277,16,2,2,4,1,8,0.000001,1300,7224,2731,12,0
0278,16,2,2,4,1,16,0.000001,2099,11141,2860,12,0
0279,16,2,2,4,2,4,0.000001,1142,6012,3488,12,0
0280,16,2,2,4,2,8,0.000001,1572,8653,3516,12,0
0281,16,2,2,4,2,16,0.000001,2504,13623,3410,12,0
0282,16,2,2,4,3,4,0.000002,1410,7717,3881,12,0
0283,16,2,2,4,3,8,0.000002,1924,10893,3925,12,0
0284,16,2,2,4,3,16,0.000001,3365,17444,3664,12,0
0285,16,2,2,4,4,4,0.000002,1653,9094,4270,12,0
0286,16,2,2,4,4,8,0.000002,2289,13238,4335,12,0
0287,16,2,2,4,4,16,0.000001,4113,21903,3898,12,0
0288,16,2,3,1,1,4,0.000002,1312,7072,4166,18,0
0289,16,2,3,1,1,8,0.000003,1770,9689,4199,18,0
0290,16,2,3,1,1,16,0.000003,2767,14860,4060,18,0
0291,16,2,3,1,2,4,0.000004,1760,9109,5323,18,0
0292,16,2,3,1,2,8,0.000005,2381,12937,5391,18,0
0293,16,2,3,1,2,16,0.000004,3790,19975,4996,18,0
0294,16,2,3,1,3,4,0.000004,2108,11397,5972,18,0
0295,16,2,3,1,3,8,0.000005,2983,16631,6006,18,0
0296,16,2,3,1,3,16,0.000004,5091,26639,5257,18,0
0297,16,2,3,1,4,4,0.000004,2501,13873,6446,18,0
0298,16,2,3,1,4,8,0.000005,3531,20345,6640,18,0
0299,16,2,3,1,4,16,0.000004,6401,31447,5661,18,0
0300,16,2,3,2,1,4,0.000002,1321,6895,4135,18,0
0301,16,2,3,2,1,8,0.000002,1597,9100,4167,18,0
0302,16,2,3,2,1,16,0.000003,2811,15389,4039,18,0
0303,16,2,3,2,2,4,0.000003,1772,9155,5300,18,0
0304,16,2,3,2,2,8,0.000003,2335,12899,5394,18,0
0305,16,2,3,2,2,16,0.000004,3956,20430,5021,18,0
0306,16,2,3,2,3,4,0.000003,2067,11357,5899,18,0
0307,16,2,3,2,3,8,0.000004,2979,16632,5959,18,0
0308,16,2,3,2,3,16,0.000004,5013,25996,5201,18,0
0309,16,2,3,2,4,4,0.000003,2415,13329,6392,18,0
0310,16,2,3,2,4,8,0.000004,3370,19765,6587,18,0
