n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0413,32,3,1,2,3,0,1024,0.0003,70
0414,32,3,1,2,3,0,512,0.0003,62
0415,32,3,1,2,3,0,256,0.0003,68
0416,32,3,1,2,3,0,128,0.0004,52
0417,32,3,1,2,3,0,64,0.0003,52
0418,32,3,1,2,3,0,32,0.0003,51
0419,32,3,1,2,3,0,16,0.0003,60
0420,32,3,1,3,1,0,1024,0.0003,61
0421,32,3,1,3,1,0,512,0.0003,60
0422,32,3,1,3,1,0,256,0.0003,59
0423,32,3,1,3,1,0,128,0.0003,64
0424,32,3,1,3,1,0,64,0.0003,58
0425,32,3,1,3,1,0,32,0.0003,59
0426,32,3,1,3,1,0,16,0.0005,58
0427,32,3,1,3,2,0,1024,0.0002,47
0428,32,3,1,3,2,0,512,0.0002,47
0429,32,3,1,3,2,0,256,0.0002,53
0430,32,3,1,3,2,0,128,0.0002,47
0431,32,3,1,3,2,0,64,0.0002,48
0432,32,3,1,3,2,0,32,0.0002,47
0433,32,3,1,3,2,0,16,0.0002,53
0434,32,3,1,3,3,0,1024,0.0003,54
0435,32,3,1,3,3,0,512,0.0003,54
0436,32,3,1,3,3,0,256,0.0003,59
0437,32,3,1,3,3,0,128,0.0003,66
0438,32,3,1,3,3,0,64,0.0003,54
0439,32,3,1,3,3,0,32,0.0003,60
0440,32,3,1,3,3,0,16,0.0003,63
0441,32,3,2,1,1,0,1024,0.0003,45
0442,32,3,2,1,1,0,512,0.0003,48
0443,32,3,2,1,1,0,256,0.0003,44
0444,32,3,2,1,1,0,128,0.0003,50
0445,32,3,2,1,1,0,64,0.0004,52
0446,32,3,2,1,1,0,32,0.0003,45
0447,32,3,2,1,1,0,16,0.0003,52
0448,32,3,2,1,2,0,1024,0.0002,50
0449,32,3,2,1,2,0,512,0.0002,46
0450,32,3,2,1,2,0,256,0.0002,50
0451,32,3,2,1,2,0,128,0.0002,49
0452,32,3,2,1,2,0,64,0.0003,49
0453,32,3,2,1,2,0,32,0.0002,44
0454,32,3,2,1,2,0,16,0.0002,53
0455,32,3,2,1,3,0,1024,0.0003,65
0456,32,3,2,1,3,0,512,0.0003,64
0457,32,3,2,1,3,0,256,0.0003,53
0458,32,3,2,1,3,0,128,0.0003,52
0459,32,3,2,1,3,0,64,0.0004,47
0460,32,3,2,1,3,0,32,0.0003,54
0461,32,3,2,1,3,0,16,0.0004,61
0462,32,3,2,2,1,0,1024,0.0004,49
0463,32,3,2,2,1,0,512,0.0003,48
0464,32,3,2,2,1,0,256,0.0004,50
0465,32,3,2,2,1,0,128,0.0003,56
0466,32,3,2,2,1,0,64,0.0003,48
0467,32,3,2,2,1,0,32,0.0003,45
0468,32,3,2,2,1,0,16,0.0004,46
0469,32,3,2,2,2,0,1024,0.0002,51
0470,32,3,2,2,2,0,512,0.0002,49
0471,32,3,2,2,2,0,256,0.0002,42
0472,32,3,2,2,2,0,128,0.0002,45
0473,32,3,2,2,2,0,64,0.0002,49
0474,32,3,2,2,2,0,32,0.0002,46
0475,32,3,2,2,2,0,16,0.0002,49
0476,32,3,2,2,3,0,1024,0.0003,59
0477,32,3,2,2,3,0,512,0.0003,52
0478,32,3,2,2,3,0,256,0.0003,59
0479,32,3,2,2,3,0,128,0.0003,60
0480,32,3,2,2,3,0,64,0.0003,60
0481,32,3,2,2,3,0,32,0.0003,60
0482,32,3,2,2,3,0,16,0.0003,58
0483,32,3,2,3,1,0,1024,0.0003,54
0484,32,3,2,3,1,0,512,0.0003,62
0485,32,3,2,3,1,0,256,0.0003,51
0486,32,3,2,3,1,0,128,0.0004,48
0487,32,3,2,3,1,0,64,0.0004,52
0488,32,3,2,3,1,0,32,0.0003,51
0489,32,3,2,3,1,0,16,0.0003,60
0490,32,3,2,3,2,0,1024,0.0002,54
0491,32,3,2,3,2,0,512,0.0002,49
0492,32,3,2,3,2,0,256,0.0002,51
0493,32,3,2,3,2,0,128,0.0002,51
0494,32,3,2,3,2,0,64,0.0002,55
0495,32,3,2,3,2,0,32,0.0002,52
0496,32,3,2,3,2,0,16,0.0002,56
0497,32,3,2,3,3,0,1024,0.0003,67
0498,32,3,2,3,3,0,512,0.0003,61
0499,32,3,2,3,3,0,256,0.0003,63
0500,32,3,2,3,3,0,128,0.0003,64
0501,32,3,2,3,3,0,64,0.0003,60
0502,32,3,2,3,3,0,32,0.0004,64
0503,32,3,2,3,3,0,16,0.0003,68
0504,32,3,3,1,1,0,1024,0.0004,49
0505,32,3,3,1,1,0,512,0.0003,46
0506,32,3,3,1,1,0,256,0.0003,47
0507,32,3,3,1,1,0,128,0.0003,49
0508,32,3,3,1,1,0,64,0.0003,49
0509,32,3,3,1,1,0,32,0.0003,48
0510,32,3,3,1,1,0,16,0.0003,60
0511,32,3,3,1,2,0,1024,0.0002,56
0512,32,3,3,1,2,0,512,0.0002,49
0513,32,3,3,1,2,0,256,0.0003,51
0514,32,3,3,1,2,0,128,0.0002,47
0515,32,3,3,1,2,0,64,0.0002,54
0516,32,3,3,1,2,0,32,0.0002,49
0517,32,3,3,1,2,0,16,0.0003,59
0518,32,3,3,1,3,0,1024,0.0003,58
0519,32,3,3,1,3,0,512,0.0003,59
0520,32,3,3,1,3,0,256,0.0003,62
0521,32,3,3,1,3,0,128,0.0003,55
0522,32,3,3,1,3,0,64,0.0003,60
0523,32,3,3,1,3,0,32,0.0003,59
0524,32,3,3,1,3,0,16,0.0003,58
0525,32,3,3,2,1,0,1024,0.0004,50
0526,32,3,3,2,1,0,512,0.0004,47
0527,32,3,3,2,1,0,256,0.0003,54
0528,32,3,3,2,1,0,128,0.0003,49
0529,32,3,3,2,1,0,64,0.0004,53
0530,32,3,3,2,1,0,32,0.0004,48
0531,32,3,3,2,1,0,16,0.0004,56
0532,32,3,3,2,2,0,1024,0.0002,53
0533,32,3,3,2,2,0,512,0.0003,54
0534,32,3,3,2,2,0,256,0.0003,54
0535,32,3,3,2,2,0,128,0.0002,52
0536,32,3,3,2,2,0,64,0.0002,54
0537,32,3,3,2,2,0,32,0.0002,55
0538,32,3,3,2,2,0,16,0.0003,53
0539,32,3,3,2,3,0,1024,0.0003,63
0540,32,3,3,2,3,0,512,0.0003,64
0541,32,3,3,2,3,0,256,0.0003,63
0542,32,3,3,2,3,0,128,0.0003,63
0543,32,3,3,2,3,0,64,0.0003,69
0544,32,3,3,2,3,0,32,0.0003,70
0545,32,3,3,2,3,0,16,0.0003,64
0546,32,3,3,3,1,0,1024,0.0004,51
0547,32,3,3,3,1,0,512,0.0003,57
0548,32,3,3,3,1,0,256,0.0004,59
0549,32,3,3,3,1,0,128,0.0004,56
0550,32,3,3,3,1,0,64,0.0004,54
0551,32,3,3,3,1,0,32,0.0004,58
0552,32,3,3,3,1,0,16,0.0004,55
