n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0280,16,1,4,3,1,1,0,0.000193,505,2776,984,0,0
0281,16,1,4,3,1,2,0,0.000254,687,3404,1501,0,0
0282,16,1,4,3,1,4,0,0.000239,718,4119,1529,0,0
0283,16,1,4,3,1,8,0,0.000256,632,3813,1689,0,0
0284,16,1,4,3,1,16,0,0.000151,821,4777,1443,0,0
0285,16,1,4,3,2,1,0,0.000194,504,2728,965,0,0
0286,16,1,4,3,2,2,0,0.000238,606,2746,1487,0,0
0287,16,1,4,3,2,4,0,0.000254,561,3537,1525,0,0
0288,16,1,4,3,2,8,0,0.000239,599,3599,1673,0,0
0289,16,1,4,3,2,16,0,0.000152,682,4337,1429,0,0
0290,16,1,4,3,3,1,0,0.000195,599,3235,983,0,0
0291,16,1,4,3,3,2,0,0.000244,770,3652,1428,0,0
0292,16,1,4,3,3,4,0,0.000250,608,3776,1532,0,0
0293,16,1,4,3,3,8,0,0.000240,644,3829,1675,0,0
0294,16,1,4,3,3,16,0,0.000152,732,4610,1564,0,0
0295,16,1,4,3,4,1,0,0.000186,518,2744,957,0,0
0296,16,1,4,3,4,2,0,0.000239,576,2701,1483,0,0
0297,16,1,4,3,4,4,0,0.000241,571,3209,1525,0,0
0298,16,1,4,3,4,8,0,0.000258,540,3295,1670,0,0
0299,16,1,4,3,4,16,0,0.000148,618,3927,1419,0,0
0300,16,1,4,4,1,1,0,0.000249,531,2918,1127,0,0
0301,16,1,4,4,1,2,0,0.000334,670,3722,1584,0,0
0302,16,1,4,4,1,4,0,0.000308,707,4204,1989,0,0
0303,16,1,4,4,1,8,0,0.000251,712,4134,1990,0,0
0304,16,1,4,4,1,16,0,0.000231,893,5648,1481,0,0
0305,16,1,4,4,2,1,0,0.000271,508,2793,1108,0,0
0307,16,1,4,4,2,4,0,0.000287,623,3970,1984,0,0
0308,16,1,4,4,2,8,0,0.000264,653,3981,1977,0,0
0309,16,1,4,4,2,16,0,0.000267,995,6532,1468,0,0
0310,16,1,4,4,3,1,0,0.000250,528,2865,1038,0,0
0311,16,1,4,4,3,2,0,0.000334,711,3926,1512,0,0
0312,16,1,4,4,3,4,0,0.000287,676,4040,1992,0,0
0313,16,1,4,4,3,8,0,0.000272,648,3915,1981,0,0
