n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0401,4,2,4,1,2,4,0.000836,2672,11512,10543,31,31
0402,4,2,4,1,4,2,0.000896,2348,11018,8531,31,31
0403,4,2,4,1,4,4,0.000869,2508,11334,10593,31,31
0404,4,2,4,1,8,2,0.000844,2541,12371,8691,31,31
0405,4,2,4,1,8,4,0.000893,2630,13030,10757,31,31
0406,4,2,4,1,16,2,0.000845,2969,14841,8978,31,31
0407,4,2,4,1,16,4,0.001000,3276,15889,11051,31,31
0408,4,2,4,1,32,2,0.000933,4253,21403,9677,31,31
0409,4,2,4,1,32,4,0.000885,4546,22535,11702,31,31
0410,4,2,4,2,2,2,0.000832,2968,12873,9589,58,58
0411,4,2,4,2,2,4,0.000769,2942,13365,9608,58,58
0412,4,2,4,2,4,2,0.000845,2865,13765,9655,58,58
0413,4,2,4,2,4,4,0.000746,2764,13858,9669,58,58
0414,4,2,4,2,8,2,0.000718,3344,16317,9946,58,58
0415,4,2,4,2,8,4,0.000734,3211,16342,9837,58,58
0416,4,2,4,2,16,2,0.000715,3965,21166,10124,58,58
0417,4,2,4,2,16,4,0.000793,4044,21265,10143,58,58
0418,4,2,4,2,32,2,0.000785,6429,33373,10917,58,58
0419,4,2,4,2,32,4,0.000734,6355,33769,11034,58,58
0420,4,2,4,3,2,2,0.000927,4038,18932,14391,79,79
0421,4,2,4,3,2,4,0.000816,3734,16723,13271,82,82
0422,4,2,4,3,4,2,0.000961,3868,18682,13491,79,79
0423,4,2,4,3,4,4,0.000872,3483,16288,11366,82,82
0424,4,2,4,3,8,2,0.000912,4484,22461,13863,79,79
